ə
eɪ
eɪ z
eɪ
eɪ z
eɪ z
æ d ə
l eɪ d
æ d ə
n t oʊ
ə d ɛ
ə ɹ t
ə d ɛ
d ɛ l
ə d ɛ
ɛ l z
æ d ə
l aɪ n
æ d ə
iː z iː
ə d ɛ
d ɛ l
ə d ɛ
ɛ l z
ə d ɛ
d ɛ l
æ d ə
m ə n
ɛ d ə
m ə n
æ d ə
m ə n
ə d ɛ
l f ə
ə d ɛ
l f iː
ə d ɛ
f iː ə
ə d ɛ
iː ə z
æ d ɪ
ɡ ə ɹ
æ d ə
s ə n
æ d ə
t aɪ n
æ d ə
t iː n
eɪ d ə
d ə n
æ d ɪ
ɪ n ə
eɪ d ə
n aʊ ɹ
æ d ə
n aʊ ɹ
æ d ə
n iː n
æ d ə
ɔː j d
æ d ə
j d z
ə d ɛ
k æ n
ə d ɛ
s iː n
ə d ɛ
ɹ ə s
ə d ɛ
ɛ p t
æ d ə
ə s iː
æ d ə
w ə t
æ d ə
w eɪ t
æ d ə
t l iː
æ d ə
t l iː
eɪ d ə
d ə ɹ
æ d ə
oʊ l d
æ d ə
oʊ l t
æ d ə
m ə n
eɪ d z
eɪ d iː
æ dʒ ə
dʒ ə ɹ
æ d h
h æ m
ə d h
h ɪ ɹ
æ d h
ɪ ɹ d
ə d h
ə n s
ə d h
ə n t
æ d h
n t s
ə d h
ɪ ɹ z
ə d h
ɹ ɪ ŋ
æ d h
ʒ ə n
æ d h
s ɪ v
ə d h
s ɪ v
æ d h
ɪ v z
ə d h
ɪ v z
ɑː d iː
d iː ə
ə d ɪ
d ɪ d
ə d iː
d ə s
ə d iː
s ɪ z
ə d uː
ə d ɪ
d ɪ n
ɑː d iː
iː n ə
ɑː d iː
iː n iː
ɑː d iː
l f iː
ɑː d iː
iː oʊ s
æ d ə
p oʊ s
æ d ə
d æ k
ə d ɪ
ɪ s k
eɪ d ɪ
ɪ s k
ə dʒ eɪ
ə n t
æ d dʒ
ɑː n iː
æ dʒ ɪ
t ɪ v
æ dʒ ɪ
ɪ v z
ə dʒ ɔː
ɔː j n
ə dʒ ɔː
n ɪ ŋ
ə dʒ ɔː
j n z
ə dʒ ɛ
ɛ ɹ n
ə dʒ ɛ
ɹ n d
ə dʒ ɛ
n ɪ ŋ
ə dʒ ɛ
ə n t
ə dʒ ɛ
ɹ n z
ə dʒ ʌ
dʒ ʌ dʒ
ə dʒ ʌ
ʌ dʒ d
ə dʒ uː
k eɪ t
ə dʒ uː
t ɪ d
ə dʒ uː
t ɪ ŋ
ə dʒ uː
ʃ ə n
æ dʒ ʌ
ŋ k t
æ dʒ ʌ
k t s
ə dʒ ʌ
ʌ s t
ə dʒ ʌ
b ə l
ə dʒ ʌ
ə l z
ə dʒ ʌ
t ə d
ə dʒ ʌ
t ɪ d
ə dʒ ʌ
t ə ɹ
ə dʒ ʌ
ə ɹ z
ə dʒ ʌ
t ɪ ŋ
ə dʒ ʌ
ə n t
ə dʒ ʌ
n t s
ə dʒ ʌ
s t s
ə dʒ ʌ
dʒ ʌ s
æ dʒ ə
ə n t
æ d k
ɪ n z
æ d k
s ə n
æ d k
s ə n
æ d k
s ə n
ɑː d ə
ɑː b ə
ɑː d ə
ʌ b aɪ
ɑː d l
l ɑː iː
æ d l
l ə ɹ
æ d l
ə ɹ z
æ d l
ə ɹ z
æ d l
d l iː
æ d l
l ɑː n
æ d l
l ɔː ŋ
æ d m
m ə n
æ d m
m ə n
ə d m
t ə ɹ
ə d m
ə ɹ d
æ d m
ɹ ɪ ŋ
æ d m
ə ɹ z
æ d m
ɹ eɪ t
ə d m
t ɪ ŋ
æ d m
ʃ ə n
æ d m
ə n z
æ d m
ə n z
æ d m
ə n z
ə d m
t ɪ v
æ d m
v l iː
ə d m
t ə ɹ
æ d m
ə ɹ z
æ d m
ə ɹ z
æ d m
ə ɹ z
æ d m
aɪ ɹ ə
æ d m
ɹ ə z
æ d m
b ə l
æ d m
b ə l
æ d m
b l iː
æ d m
ɹ ə l
æ d m
ə l z
æ d m
ə l z
æ d m
l t iː
æ d m
ʃ ə n
æ d m
ə n z
æ d m
m aɪ ɹ
ə d m
ə ɹ d
æ d m
ɹ ə ɹ
ə d m
ə ɹ z
æ d m
aɪ ɹ z
æ d m
ɹ ɪ ŋ
æ d m
ŋ l iː
ə d m
ə t iː
ə d m
b ə l
æ d m
ʃ ə n
ə d m
ʃ ə n
æ d m
ə n z
ə d m
ə n z
ə d m
m ɪ t
ə d m
ɪ t s
ə d m
ə n s
ə d m
t ə d
æ d m
d l iː
æ d m
t ɪ ŋ
ə d m
t ɪ ŋ
æ d m
n ɪ ʃ
ə d m
ɪ ʃ t
æ d m
ʃ ɪ z
æ d m
ʃ ɪ ŋ
æ d m
ɛ n t
æ d m
ʃ ə n
æ d m
ə n z
æ d n
n ə n
æ d n
d n iː
ə d uː
ə d oʊ
oʊ b iː
ə d oʊ
b iː z
æ d ə
ə n s
æ d oʊ
ə n s
æ d ə
ə n t
æ d oʊ
ə n t
æ d ə
n t s
æ d oʊ
n t s
eɪ d ɑː
ɑː l f
eɪ d ɑː
l f s
ə d ɑː
l f oʊ
eɪ d ɔː
ɔː l f
ɑː d oʊ
l f ə
æ d oʊ
s ə n
ə d ɔː
f ə s
ɑː d ɔː
d ɔː n
ɑː d oʊ
n iː ə
ə d ɑː
n ə s
ə d ɑː
ɑː p t
ə d ɑː
b ə l
ə d ɑː
t ə d
ə d ɑː
p t iː
ə d ɑː
t iː z
ə d ɑː
t ə ɹ
ə d ɑː
ə ɹ z
ə d ɑː
t ɪ ŋ
ə d ɑː
ʃ ə n
ə d ɑː
ə n z
ə d ɑː
t ɪ v
ə d ɑː
p t s
ɑː d ɔː
d ɔː ɹ
ɑː d ɔː
ɔː ɹ ə
æ d ə
b ə l
ə d ɔː
b ə l
æ d ə
ʃ ə n
ə d ɔː
d ɔː ɹ
ə d ɔː
ɔː ɹ d
æ d ə
ə ɹ iː
æ d ə
ɹ iː z
ə d ɔː
ɔː ɹ z
ə d ɔː
ɹ ɪ ŋ
ə d ɔː
ɔː ɹ n
ɑː d ɔː
ɹ n ə
ə d ɔː
ɹ n d
ə d ɔː
n ɪ ŋ
ə d ɔː
ə n t
ɑː d ɔː
ɹ n oʊ
ə d ɔː
ɹ n z
eɪ d ɹ
d ɹ ə
ɑː d ɹ
ɡ n ə
eɪ d ə
ɹ d ə
ɑː d ɹ
ɹ iː ə
ə d ɹ
n ə l
ə d ɹ
l ɪ n
ə d ɹ
l ə n
ɑː d ɹ
ɹ iː ə
eɪ d ɹ
iː ə n
eɪ d ɹ
æ n ə
ɑː d ɹ
ə n s
ɑː d ɹ
ɑː n oʊ
eɪ d ɹ
t ɪ k
ə d ɹ
ɹ iː l
ɑː d ɹ
iː ɛ n
ə d ɹ
ɪ f t
ə d ɹ
ɔː j t
ə d ɹ
t l iː
æ d z
æ d z
æ d s
s ɪ t
æ d s
eɪ d iː
s ɛ s
æ d s
t ɑː ɹ
æ d s
t iː m
æ d t
t ɛ k
æ dʒ ə
l eɪ t
æ dʒ ə
ʃ ə n
ə d uː
ɑː d eɪ
ə d ʌ
ʌ l t
æ d ə
ə l t
ə d ʌ
ɹ eɪ t
ə d ʌ
t ɪ d
ə d ʌ
eɪ t s
ə d ʌ
ʃ ə n
ə d ʌ
ɹ ə ɹ
ə d ʌ
ə ɹ z
ə d ʌ
ɹ ə s
ə d ʌ
ə ɹ iː
ə d ʌ
h ʊ d
ə d ʌ
l t s
æ d ə
l t s
ə d ʌ
l t s
æ d ə
l t s
æ d ə
d ə ɹ
æ d v
k ɛ ɹ
æ d v
ə l uː
ə d v
æ n s
ə d v
s ə z
ə d v
s ɪ z
ə d v
n s t
ə d v
ə n t
ə d v
n t s
ə d v
s ə ɹ
ə d v
ə ɹ z
ə d v
s ə z
ə d v
s ɪ z
ə d v
s ɪ ŋ
æ d v
ɑː n iː
æ d v
n t ə
ə d v
n t ə
æ d v
t ə z
ə d v
t ə z
æ d v
t ɪ dʒ
ə d v
t ɪ dʒ
æ d v
n ɪ dʒ
ə d v
n ə dʒ
æ d v
ɪ dʒ d
ə d v
ɪ dʒ d
æ d v
ɪ dʒ d
ə d v
ɪ dʒ d
æ d v
dʒ ə s
æ d v
dʒ ɪ z
ə d v
dʒ ɪ z
æ d v
dʒ ɪ z
ə d v
dʒ ɪ z
æ d v
ə s t
ə d v
ə s t
æ d v
ʃ ə n
æ d v
ɛ n t
æ d v
ɪ s t
æ d v
s t s
æ d v
t ɪ s
æ d v
tʃ ə ɹ
ə d v
tʃ ə ɹ
æ d v
ɹ ə ɹ
ə d v
ɹ ə ɹ
æ d v
ə ɹ z
ə d v
ə ɹ z
æ d v
ə ɹ z
ə d v
ə ɹ z
æ d v
s ə m
ə d v
s ə m
æ d v
z ə m
ə d v
z ə m
æ d v
ɹ ə s
ə d v
ɹ ə s
æ d v
ə ɹ b
æ d v
iː ə l
æ d v
ɹ b z
æ d v
iː ə l
æ d v
ɹ iː z
æ d v
ɛ ɹ iː
æ d v
ɛ ɹ s
æ d v
ɛ ɹ s
ə d v
ɛ ɹ s
æ d v
s l iː
æ d v
ɪ t iː
ə d v
ɪ t iː
æ d v
t aɪ z
æ d v
aɪ z d
æ d v
aɪ z d
ə d v
ə n t
æ d v
ə n t
æ d v
n t s
æ d v
z ə ɹ
æ d v
ə ɹ z
æ d v
ə ɹ z
æ d v
ə ɹ z
æ d v
z ɪ z
æ d v
z ɪ ŋ
æ d v
ɪ ŋ z
æ d v
iː ə l
æ d v
ə l z
æ d v
ɛ s t
æ d v
v aɪ s
ə d v
v aɪ s
æ d v
v ɪ l
æ d v
ɪ l z
æ d v
ɪ t iː
ə d v
b ə l
æ d v
v aɪ z
ə d v
v aɪ z
æ d v
aɪ z d
ə d v
aɪ z d
æ d v
d l iː
ə d v
d l iː
ə d v
ə n t
æ d v
z ə ɹ
ə d v
ə ɹ z
æ d v
ə ɹ z
æ d v
ə ɹ z
æ d v
z ɪ z
æ d v
z ɪ ŋ
æ d v
z ə ɹ
ə d v
z ə ɹ
ə d v
ɹ iː z
æ d v
ə ɹ z
ə d v
ə ɹ z
æ d v
ə ɹ iː
ə d v
ə ɹ iː
æ d v
d v oʊ
æ d v
ə s iː
æ d v
k ə t
æ d v
k eɪ t
æ d v
ə t s
æ d v
t ə d
æ d v
t ɪ d
æ d v
ə t s
æ d v
eɪ t s
æ d v
t ɪ ŋ
æ d v
ʃ ə n
æ d w
w iː k
ə d w
w ɛ l
eɪ d iː
æ d z
eɪ
ɪ dʒ iː
iː ə n
ɛ ɡ ə
t ə ɹ
iː dʒ ə
dʒ ə s
eɪ ɡ ɑː
ɡ ɑː n
æ l t
t ə s
æ n iː
iː ə s
ə n iː
iː ɪ d
eɪ k w
ɹ ɑː n
ɛ ɹ
eɪ iː ɑː
iː ɑː ɹ
ɛ ɹ iː
iː ə l
ɛ ɹ iː
ə l z
ɛ ɹ iː
ɛ ɹ iː
iː ə n
ɛ ɹ iː
ə n z
ɛ ɹ ɪ
l j ə
ɛ ɹ oʊ
ɛ ɹ ə
t ɪ k
ɛ ɹ ə
ɪ k s
ɛ ɹ oʊ
b ɪ k
ɛ ɹ oʊ
k l iː
ə ɹ oʊ
ɪ k s
ɛ ɹ ə
ɹ oʊ m
ɛ ɹ ə
oʊ m z
ɛ ɹ oʊ
m ɪ k
ɛ ɹ oʊ
k l iː
ɛ ɹ oʊ
ɪ s t
ɛ ɹ oʊ
s t s
ɛ ɹ oʊ
s ɪ s
ɛ ɹ oʊ
ɪ k s
ɛ ɹ ə
d aɪ n
ɛ ɹ ə
aɪ n z
ɛ ɹ oʊ
l ɑː t
ɛ ɹ oʊ
ɑː t s
ɛ ɹ ə
oʊ s ə
ɛ ɹ oʊ
dʒ ɛ t
ɛ ɹ oʊ
ɛ t s
ɛ ɹ oʊ
ɪ f t
ɛ ɹ oʊ
f t s
ɛ ɹ oʊ
iː ə s
ɛ ɹ ə
m ɑː ɹ
ɛ ɹ oʊ
m ɑː ɹ
ɛ ɹ oʊ
ɪ k oʊ
ɛ ɹ oʊ
k oʊ z
ɛ ɹ oʊ
t ə k
ɛ ɹ oʊ
k ə l
ɛ ɹ ə
k ə l
ɛ ɹ oʊ
k ə s
ɛ ɹ ə
ɪ k s
ɛ ɹ oʊ
eɪ ɹ uː
ɛ ɹ oʊ
ɹ uː z
ɛ ɹ ə
w ɪ p
ɛ ɹ oʊ
m ɪ θ
ɛ ɹ oʊ
ɪ θ s
ɛ ɹ ə
s ɑː l
ɛ ɹ ə
ɑː l z
ɛ ɹ oʊ
p eɪ s
ɛ ɹ oʊ
s ɪ z
ɛ ɹ oʊ
iː ɑː l
ɛ ɹ oʊ
ɑː l z
ɛ ɹ oʊ
t ɑː ɹ
ɛ ɹ oʊ
ɑː ɹ z
ɛ ɹ oʊ
ɑː ɹ z
ɛ ɹ oʊ
t æ t
ɛ ɹ oʊ
æ t s
ɛ ɹ oʊ
æ t s
ɛ ɹ oʊ
t ɛ k
ɛ ɹ oʊ
iː ə z
ɛ ɹ t
ɹ t s
ɛ s k
l ə s
ɛ ʃ l
m ə n
iː s ɑː
s ɑː p
iː s ɑː
ɑː p s
æ s θ
p j ə
ɛ s θ
θ iː t
ɛ s θ
iː t s
ɛ s θ
iː t s
ɛ s θ
t ɪ k
ɛ s θ
k l iː
ɛ s θ
ɪ k s
ɛ t n
t n ə
ɛ t n
n ə z
æ f ə
iː ɛ v
ə f ɑː
f ɑː ɹ
æ f ə
b ə l
æ f ə
b l iː
ə f ɛ
f ɛ ɹ
ə f ɛ
ɛ ɹ z
ə f ɛ
ɛ ɹ z
ə f ɛ
ɛ k t
æ f ɛ
ʃ ə n
ə f ɛ
t ə d
ə f ɛ
t ɪ d
ə f ɛ
t ɪ ŋ
ə f ɛ
ʃ ə n
ə f ɛ
n ə t
ə f ɛ
n ɪ t
ə f ɛ
t l iː
ə f ɛ
ə n z
ə f ɛ
t ɪ v
ə f ɛ
v l iː
ə f ɛ
k t s
æ f ɪ
ɪ l t
æ f ə
ə n t
æ f iː
ə n t
æ f ə
v ə t
æ f ɪ
ɪ t s
ə f ɪ
iː eɪ t
ə f ɪ
iː ə t
ə f ɪ
eɪ t s
ə f ɪ
t ə d
ə f ɪ
t ɪ d
ə f ɪ
ɪ d z
ə f ɪ
ə t s
ə f ɪ
eɪ t s
ə f ɪ
ɪ t s
ə f ɪ
t ɪ ŋ
ə f ɪ
ʃ ə n
ə f ɪ
ə n z
ə f aɪ
f aɪ n
ə f aɪ
aɪ n d
ə f aɪ
aɪ n z
ə f aɪ
n ɪ ŋ
ə f ɪ
t iː z
ə f ɪ
ə t iː
ə f ɪ
ɪ t iː
ə f ɛ
ɛ ɹ m
æ f ə
ʃ ə n
æ f ə
ə n z
ə f ɛ
t ɪ v
ə f ɛ
v l iː
ə f ɛ
ɹ m d
ə f ɛ
m ɪ ŋ
ə f ɛ
ɹ m z
æ f ɪ
ɪ k s
ə f ɪ
ɪ k s
ə f ɪ
k s t
æ f ɪ
s ɪ z
ə f ɪ
s ɪ z
ə f ɪ
s ɪ ŋ
æ f l
l ɪ k
æ f l
b ɑː k
ə f l
ɪ k t
ə f l
t ə d
ə f l
t ɪ d
ə f l
t ɪ ŋ
ə f l
ʃ ə n
ə f l
ə n z
ə f l
k t s
æ f l
l ɪ k
æ f l
ə n s
æ f l
ə n t
æ f oʊ
t ə ɹ
ə f ɔː
ɔː ɹ d
ə f ɔː
ə t iː
ə f ɔː
b ə l
ə f ɔː
b l iː
ə f ɔː
d ə d
ə f ɔː
d ɪ ŋ
ə f ɔː
ɹ d z
æ f ɹ
k ə t
æ f ɹ
ə t s
æ f ɹ
ʃ ə n
ə f ɹ
ʌ n t
ə f ɹ
t ɪ d
ə f ɹ
t ɪ ŋ
ə f ɹ
n t s
æ f iː
æ k s
æ f ɡ
ɡ æ n
æ f ɡ
ɑː n iː
æ f ɡ
n iː z
æ f ɡ
n iː z
æ f ɡ
t æ n
æ f ɡ
æ n z
æ f ɡ
æ n z
æ f ɡ
æ n z
æ f ɛ
ɛ l t
ə f iː
ɑː d oʊ
ə f ɪ
d oʊ z
ə f iː
iː l d
ə f aɪ
f aɪ ɹ
ə f l
l eɪ m
æ f l
s ɪ n
ə f l
l oʊ t
ə f l
t ə ɹ
æ f m
m ɛ d
ə f ɑː
n s oʊ
ə f ʊ
f ʊ t
ə f ɔː
ə n d
ə f ɔː
s ɛ d
ə f ɔː
θ ɑː t
ə f aʊ
f aʊ l
ə f ɹ
ɹ eɪ d
ə f ɹ
ɹ ɛ ʃ
æ f ɹ
ə k ə
æ f ɹ
ɪ k ə
æ f ə
ɹ k ə
æ f ɹ
k ə z
æ f ɹ
k ə z
æ f ɹ
k ə n
æ f ɹ
k ə n
æ f ɹ
ɪ s t
æ f ɹ
n aɪ z
æ f ɹ
aɪ z d
æ f ɹ
ə n z
æ f ɹ
ə n z
ə f ɹ
iː d iː
æ f ɹ
ɑː n z
æ f ɹ
n ə ɹ
æ f ɹ
d ə m
æ f ɹ
ə ɹ z
æ f ɹ
f ɹ oʊ
æ f ɹ
k ə n
æ f ɹ
ə n z
æ f ɹ
ɹ ɪ k
ɑː f s
ɑː n eɪ
ɑː f s
n eɪ z
æ f ʃ
ʃ ə ɹ
æ f ʃ
ə ɹ z
æ f t
æ f t
t ə ɹ
æ f t
ɹ ɑː l
æ f t
n ə ɹ
æ f t
ə ɹ z
æ f t
ɛ k t
æ f t
k t s
æ f t
ɡ l oʊ
æ f t
l oʊ z
æ f t
ə ɹ z
æ f t
m ɪ dʒ
æ f t
dʒ ə z
æ f t
l aɪ f
æ f t
aɪ v z
æ f t
k ɪ t
æ f t
ɪ t s
æ f t
m æ θ
æ f t
æ θ s
æ f t
n uː n
æ f t
uː n z
æ f t
uː n z
æ f t
ʃ eɪ v
æ f t
eɪ v z
æ f t
ʃ ɑː k
æ f t
ɑː k s
æ f t
eɪ s t
æ f t
s t s
æ f t
t eɪ s
æ f t
æ k s
æ f t
θ ɑː t
æ f t
θ ɔː t
æ f t
ɑː t s
æ f t
ɔː t s
æ f t
ə ɹ d
æ f t
ɹ d z
ə f uː
uː l ə
ə f uː
l ə z
æ ɡ
eɪ ɡ iː
æ ɡ z
ɑː ɡ ə
æ ɡ æ
ɡ æ tʃ
æ ɡ æ
tʃ ə z
æ ɡ æ
tʃ ə z
ə ɡ ɛ
ɡ ɛ n
ə ɡ eɪ
ɡ eɪ n
ə ɡ ɛ
n s t
ə ɡ eɪ
n s t
æ ɡ ə
n ɑː n
æ ɡ ə
ɑː n z
eɪ ɡ ə
ɡ ə n
ə ɡ ɑː
ɑː n ə
æ ɡ ə
j ə n
ɑː ɡ ɑː
ɑː n z
ə ɡ eɪ
ɡ eɪ p
eɪ ɡ ə
ɡ ə ɹ
æ ɡ ə
ə ɹ d
ɑː ɡ ɑː
w ɑː l
ə ɡ æ
æ s p
æ ɡ ə
ə s iː
ə ɡ æ
s ɪ z
æ ɡ ə
ɡ ə t
æ ɡ ə
ə t s
æ ɡ ə
ə θ ə
æ ɡ ə
w ɑː m
æ ɡ k
ɡ k oʊ
eɪ dʒ
eɪ dʒ ɪ
dʒ ɪ z
eɪ dʒ d
eɪ dʒ ɪ
dʒ ɪ d
eɪ dʒ iː
eɪ dʒ iː
dʒ iː z
eɪ dʒ l
l ə s
æ ɡ ə
t s uː
æ dʒ ə
ə n s
eɪ dʒ ə
s iː z
eɪ dʒ ə
s iː z
eɪ dʒ ə
n s iː
eɪ dʒ ə
s iː z
ə dʒ ɛ
n d ə
ə dʒ ɛ
d ə z
eɪ dʒ ə
ə n t
eɪ dʒ ə
n t s
eɪ dʒ ə
n t s
eɪ dʒ ə
n t s
eɪ dʒ ə
dʒ ə ɹ
ə dʒ ɛ
t ə m
ə dʒ ɛ
ə m z
eɪ dʒ ə
ə ɹ z
eɪ dʒ ə
ə ɹ z
eɪ ɡ ə
t ə n
eɪ dʒ ə
dʒ ə z
eɪ dʒ ɪ
dʒ ɪ z
æ ɡ f
ɡ f ə
ə ɡ ɑː
w ə l
æ ɡ iː
æ ɡ iː
ɡ iː z
ə ɡ l
ɹ eɪ t
ə ɡ l
ʃ ə n
ə ɡ l
n eɪ t
ə ɡ ɹ
d aɪ z
æ ɡ ɹ
ə n t
ə ɡ ɹ
ə n t
æ ɡ ɹ
z ɪ ŋ
ə ɡ ɹ
z ɪ ŋ
æ ɡ ɹ
v eɪ t
æ ɡ ɹ
t ə d
æ ɡ ɹ
t ɪ d
æ ɡ ɹ
eɪ t s
æ ɡ ɹ
t ɪ ŋ
æ ɡ ɹ
ʃ ə n
æ ɡ ɹ
ɡ ə t
æ ɡ ɹ
ɡ ɪ t
æ ɡ ɹ
ɡ eɪ t
æ ɡ ɹ
t ə d
æ ɡ ɹ
ɪ t s
æ ɡ ɹ
eɪ t s
ə ɡ ɹ
ɹ ɛ s
ə ɡ ɹ
ʃ ə n
ə ɡ ɹ
ə n z
ə ɡ ɹ
s ɪ v
ə ɡ ɹ
v l iː
ə ɡ ɹ
n ə s
ə ɡ ɹ
ɪ t iː
ə ɡ ɹ
s ə ɹ
ə ɡ ɹ
ə ɹ z
æ ɡ ɹ
ɡ ɹ eɪ
ə ɡ ɹ
ɹ iː v
ə ɡ ɹ
iː v d
æ ɡ iː
ə ɡ æ
æ s t
æ ɡ ə
ɑː d ɛ
æ ɡ iː
ə ɡ ɪ
l d oʊ
æ dʒ ə
dʒ ə l
ə dʒ ɪ
l ə s
ə dʒ ɪ
ə t iː
ɑː dʒ iː
dʒ iː n
æ dʒ ə
ɔː ɹ t
eɪ dʒ ɪ
dʒ ɪ ŋ
eɪ ɡ ɪ
ɪ n z
eɪ ɡ ɪ
ɡ ɪ p
æ dʒ ə
t eɪ t
æ dʒ ə
t ə d
æ dʒ ə
t ɪ ŋ
æ dʒ ə
ʃ ə n
æ dʒ ə
t ə ɹ
æ dʒ ɪ
ə ɹ z
æ dʒ ə
ɹ ɔː p
eɪ dʒ iː
iː ɪ s
ə ɡ l
l iː m
æ ɡ l
l ə ɹ
ə ɡ l
t ə ɹ
ə ɡ l
ɡ l oʊ
ə ɡ l
ɡ l oʊ
æ ɡ n
ɡ n ɑː
æ ɡ n
ɡ n ɪ
æ ɡ n
ɛ l ə
æ ɡ n
ɛ l iː
æ ɡ n
l iː z
æ ɡ n
l iː z
æ ɡ n
ɛ l oʊ
æ ɡ n
n ə ɹ
æ ɡ n
n ɪ s
ɑː ɡ n
ɛ t ə
æ ɡ n
ɡ n uː
æ ɡ n
n j uː
æ ɡ n
ɪ k oʊ
æ ɡ n
n ə ɹ
æ ɡ n
n oʊ s
æ ɡ n
s iː oʊ
æ ɡ n
t ɪ k
æ ɡ n
ɪ k s
ə ɡ oʊ
ə ɡ ɑː
ɡ ɑː ɡ
ə ɡ ɑː
l iː ə
æ ɡ ə
n iː z
æ ɡ ə
ɪ s t
æ ɡ ə
s t s
æ ɡ ə
n ɪ s
æ ɡ ə
n aɪ z
æ ɡ ə
aɪ z d
æ ɡ ə
z ɪ z
æ ɡ ə
z ɪ ŋ
æ ɡ ə
ŋ l iː
æ ɡ ə
ə n iː
æ ɡ ə
ə ɹ ə
ə ɡ ɔː
b iː ə
ɑː ɡ oʊ
s t ə
ɑː ɡ oʊ
ɛ l iː
ɑː ɡ oʊ
iː n iː
ɑː ɡ ɔː
iː n oʊ
ɑː ɡ oʊ
s t oʊ
ə ɡ uː
uː ɹ ə
ə ɡ uː
ɹ ɑː n
æ ɡ ɹ
ɡ ɹ ə
ə ɡ ɹ
iː ə n
ə ɡ ɹ
z ə m
ə ɡ ɹ
w ə l
ə ɡ ɹ
ɡ ɹ iː
ə ɡ ɹ
b ə l
ə ɡ ɹ
ɹ iː d
ə ɡ ɹ
iː ɪ ŋ
ə ɡ ɹ
ə n t
ə ɡ ɹ
n t s
ə ɡ ɹ
n t s
ə ɡ ɹ
ɹ iː z
ə ɡ ɹ
b ə l
ə ɡ ɹ
iː ə s
ɑː ɡ ɹ
ɔː ɹ s
æ ɡ ɹ
ɔː ɹ s
ɑː ɡ ɹ
s t ə
ɑː ɡ ɹ
s t iː
ɑː ɡ ɹ
s k oʊ
æ ɡ ɹ
ɡ ɹ iː
æ ɡ ɹ
æ ŋ k
æ ɡ ɹ
n ə s
ə ɡ ɹ
iː k oʊ
æ ɡ ɹ
oʊ l ə
æ ɡ ɹ
k oʊ l
æ ɡ ɹ
ɹ ə l
æ ɡ ɹ
ɹ ə l
æ ɡ ɹ
ə s t
æ ɡ ɹ
ə l iː
æ ɡ ɹ
ə l iː
æ ɡ ɹ
tʃ ə ɹ
æ ɡ ɹ
ə ɹ z
æ ɡ ɹ
j uː l
æ ɡ ɹ
uː l z
æ ɡ ɹ
ɪ k s
ə ɡ ɹ
ɪ p ə
æ ɡ ɹ
z ə ɹ
æ ɡ ɹ
ɡ ɹ oʊ
æ ɡ ɹ
k ə l
æ ɡ ɹ
ə l z
æ ɡ ɹ
iː ə l
æ ɡ ɹ
ɛ ɹ k
ə ɡ ɹ
ɪ s t
ə ɡ ɹ
s t s
ə ɡ ɹ
m ɪ s
ə ɡ ɹ
ə n d
ə ɡ ɹ
aʊ n d
ɑː ɡ ɹ
uː s ə
ɑː ɡ w
ɡ w ə
æ ɡ w
k eɪ t
ɑː ɡ w
ɪ l ə
ɑː ɡ w
ɑː d oʊ
ə ɡ w
n ɡ ə
ɑː ɡ w
t ɛ s
ɑː ɡ w
w eɪ oʊ
ɑː ɡ uː
eɪ l oʊ
ɑː ɡ ɛ
ɛ ɹ oʊ
ɑː ɡ w
iː ə ɹ
ɑː ɡ w
iː l ə
æ ɡ ə
l ɑː ɹ
ɑː ɡ w
ɛ ɹ ə
æ ɡ ə
l ɑː ɹ
æ ɡ ɪ
ə ɹ d
ɑː ɡ w
l ɔː n
ə ɡ w
iː l oʊ
ɑː ɡ uː
ɑː ɡ ə
ə ɡ w
ɪ ɹ ə
ə ɡ w
ɹ ə z
ɑː ɡ w
ɪ ɹ eɪ
ə ɡ w
ɪ ɹ eɪ
ɑː ɡ w
ɹ eɪ z
ə ɡ w
ɹ eɪ z
ə ɡ ɔː
t ɪ n
ɑː
ɑː h ɑː
eɪ h æ
h æ b
ɑː h ɑː
æ h ə
ɹ ɑː n
ə h ɑː
ɑː ɹ t
ə h æ
ɹ ə s
ə h ɑː
l s iː
ə h ɛ
h ɛ d
ə h ɛ
ɛ ɹ n
ɑː ə ɹ
ɹ ɪ n
ə h ɛ
ɛ ɹ n
ə h ɛ
ɛ ɹ n
ɑː
ɑː l
ɑː l b
ə ɹ ɡ
ɑː l b
ə ɹ n
ə l eɪ
l eɪ n
ɑː l ə
l ə n
ɑː l ə
ə ɹ z
eɪ ə l
ə l z
ɑː l f
ɑː l ɡ
ɹ ɛ n
ɑː l ɡ
ɹ ɪ m
ɑː l ɪ
l ɪ n
ɑː l m
m ə n
ɑː l k
ɪ s t
ɑː l k
s t s
ɑː l k
s t s
ɑː l s
ə n d
ɑː l s
ɹ ə m
ə l uː
l j ə
ɑː m ɑː
m ɑː d
ɑː m ɑː
ɑː d iː
ɑː m ə
m ə n
ɑː m ə
s ə n
ɑː m ə
ə n z
ɑː m ə
ə n z
ɑː m ə
m ə d
ɑː m ɛ
m ɛ d
ʌ m iː
m iː k
ɑː m uː
uː d iː
æ n
ɑː n ɛ
n ɛ l
ɑː n ə
n ə ɹ
ɑː h oʊ
æ h ə
ə l ə
ə h oʊ
oʊ l d
ə h oʊ
l d z
ə h oʊ
l d z
ə h oʊ
n ə n
ə h ɔː
s k iː
ə h ɔː
h ɔː j
ɑː ɹ
ə ɹ ɑː
n ə t
ɑː ɹ ə
ɹ ə n
ɑː ɹ ɪ
ɪ n t
ɑː ɹ ɪ
